Column1	gender	faculty	Enter Your Location	kind of books preffered for study	How Frequently do you visit library	For what Purposes do yo visit library	Average Time spent in collage	What is general Purposes	Which one is your Prefered location	What is your preferred time?	Preferred language for Learning	Preferred type for reading	Do you enjoy the Reading	Which mode of learning /	Dose Covid Pandemic Ch	How do you study before collage	How do you study after Collage	Do you aware about Nati	Do you Using National di	Dose Covid 19 Pandemic Affected Your Reading Habits	Do you purchase Books from store	Average Expenditure on books	Occupation Of Father	Parents Education	Select your Faculty	Enter your Location	Preferred Language for Learning	Do you Using National dig	Occupation of Father	number of books purchased	Time to read a book
63	Female	Science	Rural	Text Books	Once in a week	For Reading Novels and	s Less than an hour	To get the knowledge and	Home	Morning	English	Stories and novels	Enjoyable	Hard copy of Reading ma	No	a	Reading soft copy of boo k	Yes	Yes	No - Not Affected	Yes	Less Than Rs. 500	Job	Educated	Science	Rural	English	No	Job	1	7
14	Male	Science	Rural	Reference Books	Once in a week	For Reading Novels and	s Less than an hour	To be well informed	Central Library	Evening	English	Text books	Enjoyable	Hard copy of Reading ma	Yes	Reading soft copy of boo k	Reading soft copy of boo k	No	Yes	Yes - Positively Affected	Yes	Rs. 500 to Rs. 2000	Job	Educated	Science	Rural	English	No	Job	2	24
171	Male	Science	Rural	Reference Books	Once in a week	To Read Daily News Pap	e Less than an hour	To get the knowledge and	Other Places	Morning	English	New Paper	Just okay	Hard copy of Reading ma	Yes	Reading soft copy of boo	Reading soft copy of boo k	Yes	No	No - Not Affected	No	Less Than Rs. 500	Farmer	Un-Educated	Science	Rural	English	No	Farmer	3	20
48	Female	Science	Urban	Reference Books	Once in a month	To borrow library material	s Less than an hour	For career development	Home	Morning	English	Stories and novels	Very much	Academic Videos	Yes	Reading books in library a	Watching Lecture Videos	No	No	Yes- Negatively Affected	Yes	Less Than Rs. 500	Job	Un-Educated	Science	Urban	English	No	Job	4	7
70	Male	Science	Rural	Text Books	2-3 times in a week	For Reading Novels and	g 2-4 hours	To get the knowledge and	Class Room	Morning	English	New paper	Very much	soft copy of Reading mat	Yes	Watching Lecture Videos	a	Yes	No	No - Not Affected	Yes	Rs. 500 to Rs. 2000	Business	Educated	Science	Rural	English	No	Business	5	12
64	Female	Science	Urban	Reference Books	Rarely	Reference books	Less than an hour	To get the knowledge and	Home	Late Night	English	Stories and novels	Very much	Hard copy of Reading ma	Yes	a	Reading soft copy of boo k	Yes	Yes	Yes - Positively Affected	Yes	Rs. 500 to Rs. 2000	Job	Educated	Science	Urban	English	No	Job	6	28
17	Female	Science	Urban	Lecture Videos	2-3 times in a week	For Reading Novels and	s 2-4 hours	To get the knowledge and	Central Library	Morning	English	Others	Enjoyable	Hard copy of Reading ma	No	Watching Lecture Videos	Reading books in library a	No	No	No - Not Affected	Yes	Less Than Rs. 500	Job	Educated	Science	Urban	English	No	Job	7	15
103	Female	Science	Urban	Class Notes	2-3 times in a week	To Complete Assignment	2-4 hours	To increase General Kno	w Central Library	Late Night	English	New paper	Enjoyable	soft copy of Reading mat e	Yes	Reading books in library a	Reading books in library a	Yes	Yes	Yes - Positively Affected	Yes	Less Than Rs. 500	Job	Educated	Science	Urban	English	No	Job	10	22
82	Female	Science	Rural	Class Notes	Rarely	For Reading Novels and	g Less than an hour	To increase General Kno	w Home	Morning	English	Stories and novels	Very much	Hard copy of Reading ma	Yes	Reading books in library a	Reading soft copy of boo k	No	No	Yes- Negatively Affected	Yes	Less Than Rs. 500	Worker	Educated	Science	Rural	English	No	Worker	11	19
28	Female	Science	Rural	Text Books	Once in a week	To Complete Assignment	Less than an hour	To get the knowledge and	Home	Late Night	Marathi	Stories and novels	Just okay	soft copy of Reading mat	Yes	Watching Lecture Videos	Watching Lecture Videos	Yes	No	Yes- Negatively Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Rural	Marathi	No	Farmer	12	27
6	Female	Science	Urban	Class Notes	2-3 times in a week	For Reading Novels and	2-4 hours	To be well informed	Home	Late Night	Marathi	Stories and novels	Very much	Hard copy of Reading ma	Yes	Reading books in library a	Reading books in library a	Yes	Yes	No - Not Affected	Yes	Rs. 500 to Rs. 2000	Business	Educated	Science	Urban	Marathi	No	Business	13	14
8	Female	Science	Urban	Reference Books	2-3 times in a week	For Reading Novels and	s 2-4 hours	To get the knowledge and	Central Library	Late Night	English	New paper	Very much	Hard copy of Reading ma	Yes	Reading books in library a	Reading soft copy of boo k	No	No	No - Not Affected	Yes	Rs. 500 to Rs. 2000	Farmer	Educated	Science	Urban	English	No	Farmer	14	6
116	Female	Science	Rural	Reference Books	Once in a week	To borrow library material	s Less than an hour	To get the knowledge and	Home	Late Night	English	New Paper	Very much	soft copy of Reading mat e	Yes	Reading books in library a	Watching Lecture Videos	No	No	No - Not Affected	Yes	Rs. 500 to Rs. 2000	Farmer	Educated	Science	Rural	English	No	Farmer	15	23
73	Female	Science	Rural	Reference Books	Once in a month	To read Daily News pape	Less than an hour	To increase General Kno	w Class Room	Evening	English	New paper	Very much	Hard copy of Reading ma	Yes	Reading soft copy of boo k	Reading soft copy of boo k	Yes	Yes	Yes- Negatively Affected	Yes	Rs. 500 to Rs. 2000	Farmer	Educated	Science	Rural	English	No	Farmer	16	17
45	Male	Science	Rural	Class Notes	Once in a month	For Reading Novels and	g Less than an hour	For career development	Central Library	Morning	English	New paper	Enjoyable	Hard copy of Reading ma	Yes	Watching Lecture Videos	Reading soft copy of boo k	Yes	Yes	Yes - Positively Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Rural	English	No	Farmer	17	19
12	Female	Science	Rural	Reference Books	2-3 times in a week	For Reading Novels and	s 6 and Above	To increase General Kno	w Park or Garden	Late Night	Marathi	Stories and novels	Very much	Hard copy of Reading ma	No	Reading books in library a	Reading books in library a	No	No	No - Not Affected	Yes	Rs. 500 to Rs. 2000	Worker	Educated	Science	Rural	Marathi	No	Worker	18	16
87	Male	other	Rural	Lecture Videos	Daily	To use the internet	2-4 hours	To increase General Kno	w Central Library	Morning	English	Reference books	Very much	Hard copy of Reading ma	No	Reading books in library a	Reading soft copy of boo k	Yes	Yes	Yes - Positively Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Rural	English	No	Farmer	19	19
15	Female	Science	Rural	Class Notes	2-3 times in a week	For Reading Novels and	s Less than an hour	To get the knowledge and	Park or Garden	Late Night	English	Stories and novels	Very much	Hard copy of Reading ma	No	Reading soft copy of boo k	Reading books in library a	Yes	No	No - Not Affected	Yes	Rs. 500 to Rs. 2000	Job	Educated	Science	Rural	English	No	Job	20	7
3	Male	other	Urban	Text Books	Once in a week	For Reading Novels and	s Less than an hour	To get the knowledge and	Central Library	Morning	Marathi	Text books	Very much	Hard copy of Reading ma	No	Reading books in library a	Reading soft copy of boo k	Yes	No	No - Not Affected	Yes	Rs. 500 to Rs. 2000	Business	Educated	Science	Urban	Marathi	No	Business	21	14
128	Female	Science	Rural	Reference Books	Rarely	To borrow library material	s Less than an hour	To be well informed	Central Library	Afternoon	English	Reference books	Enjoyable	Hard copy of Reading ma	Yes	Watching Lecture Videos	Watching Lecture Videos	Yes	No	Yes - Negatively Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Rural	English	Yes	Farmer	22	5
37	Female	Science	Rural	Class Notes	Once in a week	To borrow library material	s Less than an hour	To get the knowledge and	Home	Morning	English	Reference books	Enjoyable	Hard copy of Reading ma	Yes	Reading books in library a	Reading soft copy of boo k	Yes	Yes	Yes - Positively Affected	Yes	Less Than Rs. 500	Farmer	Educated	Science	Rural	English	No	Farmer	23	12
84	Female	other	Urban	Class Notes	Once in a week	For Reading Novels and	g 2-4 hours	To get the knowledge and	College lab	Evening	English	Reference books	Enjoyable	soft copy of Reading mat e	Yes	Reading soft copy of boo k	Reading soft copy of boo k	No	No	Yes - Positively Affected	Yes	Rs. 500 to Rs. 2000	Job	Educated	Science	Urban	English	No	Job	24	8
7	Female	Science	Urban	Lecture Videos	Once in a week	For Reading Novels and	s 2-4 hours	To get the knowledge and	Central Library	Late Night	English	Stories and novels	Enjoyable	Academic Videos	Yes	Reading books in library a	Watching Lecture Videos	No	No	Yes- Negatively Affected	Yes	Less Than Rs. 500	Job	Educated	Science	Urban	English	No	Job	25	10
